phulangsunguy	phulangsu/NPR+nguy/PAN
^EOS
chek	chek/NPR
syume	syume/NPR
nguyngwen	nguyngwen/NNC
(	(/SLQ
min	min/NPR
:	:/SSY
nyungyokcwu	nyungyok/NPR+cwu/NNC
)	)/SRQ
ngun	ngun/PAU
nginal	nginal/NNC
paykngakkwanngeyse	paykngakkwan/NPR+ngeyse/PAD
tonglyo	tonglyo/NNC
nguyngwentulkwa	nguyngwen/NNC+tul/XSF+kwa/PAD
hamkkey	hamkkey/ADV
khullinthen	khullinthen/NPR
taythonglyengkwa	taythonglyeng/NNC+kwa/PCJ
pil	pil/NNC
lichetusun	lichetusun/NPR
ngeyneci	ngeyneci/NNC
cangkwan	cangkwan/NNC
mich	mich/ADC
lolensu	lolensu/NPR
semesu	semesu/NPR
caymwucangkwanngul	caymwu/NNC+cangkwan/NNC+ngul/PCA
mannan	manna/VV+ngun/EAN
hwu	hwu/NNC
kicatulngeykey	kica/NNC+tul/XSF+ngeykey/PAD
"^LQ	"/SLQ
taythonglyengngi	taythonglyeng/NNC+ngi/PCA
cenlyakpichwukngyu	cenlyak/NNC+pichwukngyu/NNC
pangchwul	pangchwul/NNC
kanungsengngey	kanungseng/NNC+ngey/PAD
tayhay	tayha/VV+nge/ECS
cikumkkaci	cikum/NNC+kkaci/PAU
pongin	pongi/VV+ngun/EAN
kes	kes/NNX
cwungngeyse	cwung/NNX+ngeyse/PAD
kacang	kacang/ADV
kanglyekhan	kanglyek/NNC+ha/XSJ+ngun/EAN
nguycilul	nguyci/NNC+ngul/PCA
phyomyenghayssta	phyomyeng/NNC+ha/XSV+ngess/EPF+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
syume	syume/NPR
nguyngwenngun	nguyngwen/NNC+ngun/PAU
sekngyuswuchwulkwukkikwu	sekngyuswuchwulkwukkikwu/NPR
(	(/SLQ
OPEC	OPEC/NFW
)	)/SRQ
ka	ngi/PCA
ngonun	ngonun/DAN
27	27/NNU
ngil	ngil/NNX
kaklyohoytamngeyse	kaklyo/NNC+hoytam/NNC+ngeyse/PAD
cungsanngul	cungsan/NNC+ngul/PCA
kyelcenghaci	kyelceng/NNC+ha/XSV+ci/ECS
nganhngul	nganh/VX+ngul/EAN
kyengngwu	kyengngwu/NNC
ngihwu	ngihwu/NNC
30	30/NNU
ngil	ngil/NNX
nganngey	ngan/NNC+ngey/PAD
cenlyakpichwukngyuka	cenlyak/NNC+pichwukngyu/NNC+ngi/PCA
pangchwultwayngya	pangchwul/NNC+toy/XSV+ngengya/ECS
hantako	ha/VX+nunta/EFN+ko/PAD
kangcohayssta	kangco/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kunun	ku/NPN+ngun/PAU
pangchwul	pangchwul/NNC
kyumongey	kyumo/NNC+ngey/PAD
tayhay	tayha/VV+nge/ECS
mikwukngi	mikwuk/NPR+ngi/PCA
pongyuhako	pongyu/NNC+ha/XSV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
pichwukngyunguy	pichwukngyu/NNC+nguy/PAN
5	5/NNU
pheseynthu	pheseynthu/NNX
mimanngi	miman/NNC+ngi/PCA
palamcikhatako	palamcik/NNC+ha/XSJ+ta/EFN+ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
mikwuknguy	mikwuk/NPR+nguy/PAN
cenlyakpichwukngyunun	cenlyak/NNC+pichwukngyu/NNC+ngun/PAU
hyencay	hyencay/NNC
5	5/NNU
ngek	ngek/NNU
6	6/NNU
chen	chen/NNU
900	900/NNU
manpaylello	man/NNU+paylel/NNX+ngulo/PAD
cipkyeytoynta	cipkyey/NNC+toy/XSV+nunta/EFN
.	./SFN
^EOS
syume	syume/NPR
nguyngwenngun	nguyngwen/NNC+ngun/PAU
kulena	kulena/ADC
khullinthen	khullinthen/NPR
taythonglyengngi	taythonglyeng/NNC+ngi/PCA
cenlyakpichwukngyulul	cenlyak/NNC+pichwukngyu/NNC+ngul/PCA
pangchwulhakeysstako	pangchwul/NNC+ha/XSV+keyss/EPF+ta/EFN+ko/PAD
hwakngyakhacinun	hwakngyak/NNC+ha/XSV+ci/EFN+ngun/PAU
nganhngasstako	nganh/VX+ngess/EPF+ta/EFN+ko/PAD
tespwuthngyessta	tespwuthngi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
seykyey	seykyey/NNC
choytay	choytay/NNC
sikphwumhoysangin	sikphwum/NNC+hoysa/NNC+ngi/CO+ngun/EAN
sungwisu	sungwisu/NPR
neysulleynguy	neysulley/NPR+nguy/PAN
tokngilngin	tokngilngin/NNC
sacangngi	sacang/NNC+ngi/PCA
pwulpep	pwulpep/NNC
henkum	henkum/NNC
mwunceylo	mwuncey/NNC+ngulo/PAD
konngyokngul	konngyok/NNC+ngul/PCA
chilwuko	chilwu/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
kimintang	kimintang/NPR
(	(/SLQ
CDU	CDU/NFW
)	)/SRQ
ngul	ngul/PCA
kwuhalyenun	kwuha/VV+ngulye/ECS+nun/EAN
heylmwuthu	heylmwuthu/NPR
khol	khol/NPR
cenchonglinguy	cen/XPF+chongli/NNC+nguy/PAN
henkum	henkum/NNC
hosongey	hoso/NNC+ngey/PAD
hongung	hongung/NNC
,	,/SCM
ngaykswu	ngaykswu/NNC
misangnguy	misang/NNC+nguy/PAN
cakumngul	cakum/NNC+ngul/PCA
cingwenhaysstako	cingwen/NNC+ha/XSV+ngess/EPF+ta/EFN+ko/PAD
phanginaynsyel	phanginaynsyel/NPR
thangimsuka	thangimsu/NPR+ngi/PCA
2	2/NNU
ngil	ngil/NNX
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
heylmwuthu	heylmwuthu/NPR
mangwuheylu	mangwuheylu/NPR
sacangngun	sacang/NNC+ngun/PAU
ngi	ngi/DAN
sinmwunnguy	sinmwun/NNC+nguy/PAN
tokngilphankwa	tokngil/NPR+phan/NNC+kwa/PAD
kacin	kaci/VV+ngun/EAN
hoykyenngeyse	hoykyen/NNC+ngeyse/PAD
"^LQ	"/SLQ
kholssinguy	khol/NPR+ssi/XSF+nguy/PAN
ngyochengngey	ngyocheng/NNC+ngey/PAD
ttala	ttalu/VV+nge/ECS
chaykngimngissnun	chaykngim/NNC+ngiss/VJ+nun/EAN
siminnguy	simin/NNC+nguy/PAN
tolilo	toli/NNC+ngulo/PAD
,	,/SCM
kuliko	kuliko/ADC
CDU	CDU/NFW
tangngwenngulose	tangngwen/NNC+ngulose/PAD
henkumhakilo	henkum/NNC+ha/XSV+ki/ENM+ngulo/PAD
kyelcenghayssta	kyelceng/NNC+ha/XSV+ngess/EPF+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
malhako	malha/VV+ko/ECS
pwucengcakum	pwuceng/NNC+cakum/NNC
sangyongngey	sangyong/NNC+ngey/PAD
tayhan	tayha/VV+ngun/EAN
pelkumngul	pelkum/NNC+ngul/PCA
nayki	nay/VV+ki/ENM
ngwihangye	ngwiha/VV+nge/ECS
ngayssunun	ngayssu/VV+nun/EAN
tangngul	tang/NNC+ngul/PCA
topkilo	top/VV+ki/ENM+ngulo/PAD
han	ha/VV+ngun/EAN
kyelcengngun	kyelceng/NNC+ngun/PAU
neysulleyngwa	neysulley/NPR+kwa/PAD
ngamwulen	ngamwulen/DAN
kwankyeyka	kwankyey/NNC+ngi/PCA
ngepsngumye	ngeps/VJ+ngumye/ECS
talun	talun/DAN
si	si/NNC
henkumngul	henkum/NNC+ngul/PCA
ngyutohal	ngyuto/NNC+ha/XSV+ngul/EAN
swu	swu/NNX
ngissnun	ngiss/VJ+nun/EAN
mopemngi	mopem/NNC+ngi/PCA
toykilul	toy/VV+ki/ENM+ngul/PCA
palako	pala/VV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kunun	ku/NPN+ngun/PAU
henkum	henkum/NNC
ngaykswulul	ngaykswu/NNC+ngul/PCA
kongkayhakilul	kongkay/NNC+ha/XSV+ki/ENM+ngul/PCA
kepwuhamyense	kepwu/NNC+ha/XSV+ngumyense/ECS
henkumnguy	henkum/NNC+nguy/PAN
chwulchengwa	chwulche/NNC+kwa/PCJ
kyumonun	kyumo/NNC+ngun/PAU
khol	khol/NPR
cenchonglinguy	cen/XPF+chongli/NNC+nguy/PAN
henkum	henkum/NNC
khaympheynginngi	khaympheyngin/NNC+ngi/PCA
kkuthnal	kkuthna/VV+ngul/EAN
ttaykkaci	ttay/NNC+kkaci/PAD
kongkayhaci	kongkay/NNC+ha/XSV+ci/ECS
nganhkilo	nganh/VX+ki/ENM+ngulo/PAD
khol	khol/NPR
cenchonglingwa	cen/XPF+chongli/NNC+kwa/PCJ
hapnguyhaysstako	hapnguy/NNC+ha/XSV+ngess/EPF+ta/EFN+ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kyengceycwukanci	kyengcey/NNC+cwukanci/NNC
piluthusyaphuchu	piluthusyaphuchu/NPR
poheynun	pohey/NPR+ngun/PAU
1	1/NNU
ngil	ngil/NNX
pimil	pimil/NNC
cakumngul	cakum/NNC+ngul/PCA
kwanlihaysstanun	kwanli/NNC+ha/XSV+ngess/EPF+ta/EFN+nun/EAN
ngingyulo	ngingyu/NNC+ngulo/PAD
2	2/NNU
chen	chen/NNU
100	100/NNU
manngyulo	man/NNU+ngyulo/NNX
pelkumngi	pelkum/NNC+ngi/PCA
pwukwatoyn	pwukwa/NNC+toy/XSV+ngun/EAN
CDUngul	CDU/NFW+ngul/PCA
cingwenhaki	cingwen/NNC+ha/XSV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
khol	khol/NPR
cenchonglika	cen/XPF+chongli/NNC+ngi/PCA
'^LQ	'/SLQ
300	300/NNU
man	man/NNU
ngyulo	ngyulo/NNX
mokum	mokum/NNX
'^RQ	'/SRQ
ngey	ngey/PAD
nase	nase/VV+nge/ECS
tokngil	tokngil/NPR
cenngyekngul	cenngyek/NNC+ngul/PCA
swunhoyhako	swunhoy/NNC+ha/XSV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cwukan	cwukan/NNC
syuphikeylngun	syuphikeyl/NPR+ngun/PAU
ngonun	ngonun/DAN
6	6/NNU
ngilca	ngilca/NNX
choysinhongeyse	choysinho/NNC+ngeyse/PAD
khol	khol/NPR
cenchonglika	cen/XPF+chongli/NNC+ngi/PCA
cinan	cinan/DAN
2	2/NNU
ngwelmallo	ngwel/NNX+mal/NNX+ngulo/PAD
ngimi	ngimi/ADV
mokphyongaykngul	mokphyongayk/NNC+ngul/PCA
talsenghaysstako	talseng/NNC+ha/XSV+ngess/EPF+ta/EFN+ko/PAD
cwucanghayssngumye	cwucang/NNC+ha/XSV+ngess/EPF+ngumye/ECS
ngilkan	ngilkan/ADV
tipeylthunun	tipeylthu/NPR+ngun/PAU
2	2/NNU
ngil	ngil/NNX
kuka	ku/NPN+ngi/PCA
mokumhan	mokum/NNC+ha/XSV+ngun/EAN
tonngi	ton/NNC+ngi/PCA
kot	kot/ADV
CDUngey	CDU/NFW+ngey/PAD
centaltoyl	cental/NNC+toy/XSV+ngul/EAN
ngyeycengngilako	ngyeyceng/NNC+ngi/CO+la/EFN+ko/PAD
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
khol	khol/NPR
chonglinun	chongli/NNC+ngun/PAU
kumnyencho	kumnyen/NNC+cho/NNX
casinngi	casin/NNC+ngi/PCA
chonglingwa	chongli/NNC+kwa/PCJ
CDU	CDU/NFW
tangswulose	tangswu/NNC+ngulose/PAD
200	200/NNU
man	man/NNU
malukhunguy	malukhu/NNX+nguy/PAN
henkumngul	henkum/NNC+ngul/PCA
patngassnguna	pat/VV+ngess/EPF+nguna/ECS
1	1/NNU
man	man/NNU
malukhulul	malukhu/NNX+ngul/PCA
chokwahanun	chokwa/NNC+ha/XSV+nun/EAN
henkumngun	henkum/NNC+ngun/PAU
sinkohatolok	sinko/NNC+ha/XSV+tolok/ECS
twayngissnun	toy/VX+nge/ECS+ngiss/VX+nun/EAN
pepngul	pep/NNC+ngul/PCA
ngekiko	ngeki/VV+ko/ECS
ngilul	ngi/NPN+ngul/PCA
tang	tang/NNC
kyeycwangey	kyeycwa/NNC+ngey/PAD
ngipkumhaci	ngipkum/NNC+ha/XSV+ci/ECS
nganhngassngumngul	nganh/VX+ngess/EPF+ngum/ENM+ngul/PCA
singinhayssta	singin/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
maytullin	maytullin/NPR
ngolpulangithu	ngolpulangithu/NPR
mi	mi/NPR
kwukmwucangkwanngun	kwukmwu/NNC+cangkwan/NNC+ngun/PAU
2	2/NNU
ngil	ngil/NNX
cwungkwukngun	cwungkwuk/NPR+ngun/PAU
choykun	choykun/NNC
swunyenkan	swu/XPF+nyen/NNX+kan/XSF
taymanngey	tayman/NPR+ngey/PAD
tayhay	tayha/VV+nge/ECS
`^LQ	`/SLQ
hwelssin	hwelssin/ADV
hocencekngin	hocen/NNC+cek/XSF+ngi/CO+ngun/EAN
'^RQ	'/SRQ
caseylul	casey/NNC+ngul/PCA
chwihay	chwiha/VV+nge/ECS
ngoko	ngo/VX+ko/ECS
ngissnguna	ngiss/VX+nguna/ECS
kukathngun	ku/NPN+kath/VJ+ngun/EAN
kangkyengngipcangngi	kangkyeng/NNC+ngipcang/NNC+ngi/PCA
cencayngnguy	cencayng/NNC+nguy/PAN
cencwukokngun	cencwukok/NNC+ngun/PAU
nganilako	ngani/VJ+la/EFN+ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kulena	kulena/ADC
cwungkwukngun	cwungkwuk/NPR+ngun/PAU
cakwuknguy	cakwuk/NNC+nguy/PAN
nginminhaypangkwunngi	nginminhaypangkwun/NPR+ngi/PCA
taymanngul	tayman/NPR+ngul/PCA
chimkonghal	chimkong/NNC+ha/XSV+ngul/EAN
nunglyekngul	nunglyek/NNC+ngul/PCA
kacko	kac/VV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
malhamngulosse	malha/VV+ngum/ENM+ngulosse/PAD
nginminhaypangkwunngi	nginminhaypangkwun/NPR+ngi/PCA
taymanngul	tayman/NPR+ngul/PCA
chimkonghal	chimkong/NNC+ha/XSV+ngul/EAN
swu	swu/NNX
ngisskikkacinun	ngiss/VJ+ki/ENM+kkaci/PAU+ngun/PAU
choysohan	choysohan/NNC
5	5/NNU
nyenngi	nyen/NNX+ngi/PCA
kellil	kelli/VV+ngul/EAN
kesngilanun	kes/NNX+ngi/CO+la/EFN+nun/EAN
sepang	sepang/NNC
kwunsapwunsekkatulnguy	kwunsa/NNC+pwunsekka/NNC+tul/XSF+nguy/PAN
kyenhaylul	kyenhay/NNC+ngul/PCA
ngilchwukhayssta	ngilchwuk/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngolpulangithu	ngolpulangithu/NPR
cangkwanngun	cangkwan/NNC+ngun/PAU
nginal	nginal/NNC
sangngwennguy	sangngwen/NNC+nguy/PAN
han	han/NNU
seychwulsongwingwenhoy	seychwulso/NNC+ngwingwenhoy/NNC
cungngenngul	cungngen/NNC+ngul/PCA
thonghay	thongha/VV+nge/ECS
,	,/SCM
cwungkwukngi	cwungkwuk/NPR+ngi/PCA
cinantal	cinantal/NNC
palphyohan	palphyo/NNC+ha/XSV+ngun/EAN
taymanmwuncey	tayman/NPR+mwuncey/NNC
payksengeynun	paykse/NNC+ngey/PAD+ngun/PAU
taymanngi	tayman/NPR+ngi/PCA
thongngilngul	thongngil/NNC+ngul/PCA
kepwuhal	kepwu/NNC+ha/XSV+ngul/EAN
kyengngwu	kyengngwu/NNC
chimkongngey	chimkong/NNC+ngey/PAD
cikmyenhal	cikmyen/NNC+ha/XSV+ngul/EAN
kesngilanun	kes/NNX+ngi/CO+la/EFN+nun/EAN
kyengkoka	kyengko/NNC+ngi/PCA
tamkin	tamki/VV+ngun/EAN
mwunmaykngul	mwunmayk/NNC+ngul/PCA
pongangya	po/VV+ngengya/ECS
hantamyense	ha/VX+nunta/EFN+myense/ECS
,	,/SCM
"^LQ	"/SLQ
ngwulika	ngwuli/NPN+ngi/PCA
ngwulyehako	ngwulye/NNC+ha/XSV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
kesngun	kes/NNX+ngun/PAU
pwunmyenghaciman	pwunmyeng/NNC+ha/XSV+ciman/ECS
payksenguy	paykse/NNC+nguy/PAN
ngilpwu	ngilpwu/NNC
nayngyongngun	nayngyong/NNC+ngun/PAU
taymannguy	tayman/NPR+nguy/PAN
senke	senke/NNC
mwunceyngwa	mwuncey/NNC+kwa/PAD
kwanlyentway	kwanlyen/NNC+toy/XSV+nge/ECS
ngissta	ngiss/VX+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cwungkwukngun	cwungkwuk/NPR+ngun/PAU
5	5/NNU
ngilpwuthe	ngil/NNX+pwuthe/PAD
kacang	kacang/ADV
kongsikcekngin	kongsik/NNC+cek/XSF+ngi/CO+ngun/EAN
ngyenlyey	ngyenlyey/NNC
cengchihayngsangin	cengchi/NNC+hayngsa/NNC+ngi/CO+ngun/EAN
cenkwuknginmintayphyotayhoy	cenkwuknginmintayphyotayhoy/NPR
(	(/SLQ
cenngintay	cenngintay/NPR
)	)/SRQ
lul	ngul/PCA
ngonun	ngonun/DAN
18	18/NNU
ngilnguy	ngil/NNX+nguy/PAN
tayman	tayman/NPR
chongthongsenke	chongthong/NNC+senke/NNC
cikcenkkaci	cikcen/NNC+kkaci/PAU
kaychoyhamye	kaychoy/NNC+ha/XSV+ngumye/ECS
,	,/SCM
thukhi	thukhi/ADV
taymanchongthongsenkengeyse	tayman/NPR+chongthong/NNC+senke/NNC+ngeyse/PAD
taymantoklipngul	tayman/NPR+toklip/NNC+ngul/PCA
cwucanghanun	cwucang/NNC+ha/XSV+nun/EAN
hwupoka	hwupo/NNC+ngi/PCA
tangsentoyci	tangsen/NNC+toy/XSV+ci/ECS
nganhtolok	nganh/VX+tolok/ECS
ngyenghyangngul	ngyenghyang/NNC+ngul/PCA
michilye	michi/VV+ngulye/ECS
hako	ha/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
kesngulo	kes/NNX+ngulo/PAD
pwunsektoyko	pwunsek/NNC+toy/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
ngolpulangithu	ngolpulangithu/NPR
cangkwanngun	cangkwan/NNC+ngun/PAU
nginal	nginal/NNC
cungngenngeyse	cungngen/NNC+ngeyse/PAD
cenngintayngey	cenngintay/NPR+ngey/PAD
kwanhay	kwanha/VV+nge/ECS
ngenkuphacinun	ngenkup/NNC+ha/XSV+ci/EFN+ngun/PAU
nganhngassnguna	nganh/VX+ngess/EPF+nguna/ECS
cwungkwukngi	cwungkwuk/NPR+ngi/PCA
hongkhongkwa	hongkhong/NPR+kwa/PCJ
makhangolul	makhango/NPR+ngul/PCA
sengkongcekngulo	sengkong/NNC+cek/XSF+ngulo/PAD
tollyepatngun	tollyepat/VV+ngun/EAN
twi	twi/NNC
cwungkwuk	cwungkwuk/NPR
citopwu	citopwu/NNC
nayngeyse	nay/NNX+ngeyse/PAD
taymanngey	tayman/NPR+ngey/PAD
tayhay	tayha/VV+nge/ECS
tengwuk	tengwuk/ADV
kangkyenghan	kangkyeng/NNC+ha/XSV+ngun/EAN
nosenngul	nosen/NNC+ngul/PCA
chwihatolok	chwiha/VV+tolok/ECS
ngyokwuhanun	ngyokwu/NNC+ha/XSV+nun/EAN
moksolika	moksoli/NNC+ngi/PCA
ngisstanun	ngiss/VJ+ta/EFN+nun/EAN
cemngul	cem/NNC+ngul/PCA
sisahayssta	sisa/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngolpulangithu	ngolpulangithu/NPR
cangkwanngun	cangkwan/NNC+ngun/PAU
"^LQ	"/SLQ
cwungkwuk	cwungkwuk/NPR
citocatulngi	citoca/NNC+tul/XSF+ngi/PCA
`^LQ	`/SLQ
taymanngun	tayman/NPR+ngun/PAU
cwungkwuknguy	cwungkwuk/NPR+nguy/PAN
ngilpwu	ngilpwu/NNC
'^RQ	'/SRQ
lanun	ngi/CO+la/EFN+nun/EAN
pwupwunngey	pwupwun/NNC+ngey/PAD
ngenkuphal	ngenkup/NNC+ha/XSV+ngul/EAN
ttay	ttay/NNC
pomyen	po/VV+ngumyen/ECS
4	4/NNU
nyencen	nyen/NNX+cen/NNC
pota	pota/ADV
pwunmyenghi	pwunmyenghi/ADV
hwelssin	hwelssin/ADV
hocencek	hocen/NNC+cek/XSF
"^RQ	"/SRQ
ngilamyense	ngi/CO+la/EFN+myense/ECS
kulena	kulena/ADC
cwungkwukngun	cwungkwuk/NPR+ngun/PAU
taymanngey	tayman/NPR+ngey/PAD
tayhan	tayha/VV+ngun/EAN
mwulyeksangyongngun	mwulyek/NNC+sangyong/NNC+ngun/PAU
ngyongnaphal	ngyongnap/NNC+ha/XSV+ngul/EAN
swu	swu/NNX
ngepstanun	ngeps/VJ+ta/EFN+nun/EAN
mikwuknguy	mikwuk/NPR+nguy/PAN
ngipcangngul	ngipcang/NNC+ngul/PCA
cal	cal/ADV
ngihayhako	ngihay/NNC+ha/XSV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
tespwuthngyessta	tespwuthngi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cwungkwukngi	cwungkwuk/NPR+ngi/PCA
silceylo	silcey/NNC+ngulo/PAD
taymanngul	tayman/NPR+ngul/PCA
kongkyekhal	kongkyek/NNC+ha/XSV+ngul/EAN
kanungsengngi	kanungseng/NNC+ngi/PCA
ngissnunyanun	ngiss/VJ+nunya/EFN+nun/EAN
cilmwunngey	cilmwun/NNC+ngey/PAD
ngolpulangithucangkwanngun	ngolpulangithu/NPR+cangkwan/NNC+ngun/PAU
"^LQ	"/SLQ
cwungkwuk	cwungkwuk/NPR
citopwunun	citopwu/NNC+ngun/PAU
taymanngey	tayman/NPR+ngey/PAD
tayhan	tayha/VV+ngun/EAN
kongkyekngi	kongkyek/NNC+ngi/PCA
mikwukngey	mikwuk/NPR+ngey/PAD
cwungtayhan	cwungtay/NNC+ha/XSV+ngun/EAN
kyelkwaka	kyelkwa/NNC+ngi/PCA
toyl	toy/VV+ngul/EAN
kes	kes/NNX
"^RQ	"/SRQ
ngilako	ngi/CO+la/EFN+ko/PAD
kangcohako	kangco/NNC+ha/XSV+ko/ECS
,	,/SCM
taymanngi	tayman/NPR+ngi/PCA
pangngenunglyekngul	pangnge/NNC+nunglyek/NNC+ngul/PCA
ngyucihatolok	ngyuci/NNC+ha/XSV+tolok/ECS
hanun	ha/VV+nun/EAN
hanphyen	hanphyen/NNC
manngyak	manngyak/ADV
taymanngi	tayman/NPR+ngi/PCA
kongkyekngul	kongkyek/NNC+ngul/PCA
patngul	pat/VV+ngul/EAN
kyengngwu	kyengngwu/NNC
taymanngul	tayman/NPR+ngul/PCA
topnuntanun	top/VV+nunta/EFN+nun/EAN
mikwuknguy	mikwuk/NPR+nguy/PAN
nguymwunun	nguymwu/NNC+ngun/PAU
ngihayngtoyl	ngihayng/NNC+toy/XSV+ngul/EAN
kesngila	kes/NNX+ngi/CO+la/EFN
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
hanphyen	hanphyen/ADC
cwupangcango	cwupangcango/NPR
(	(/SLQ
cwupangco	cwupangco/NPR
)	)/SRQ
cwungkwuk	cwungkwuk/NPR
ngoykyopwu	ngoykyopwu/NPR
taypyennginngun	taypyenngin/NNC+ngun/PAU
nginal	nginal/NNC
cenglyey	cenglyey/NNC
nyusu	nyusu/NNC
puliphingngeyse	puliphing/NNC+ngeyse/PAD
"^LQ	"/SLQ
cwungkwuk	cwungkwuk/NPR
nginminhaypangkwunngun	nginminhaypangkwun/NPR+ngun/PAU
cwungkwuknguy	cwungkwuk/NPR+nguy/PAN
cwukwenkwa	cwukwen/NNC+kwa/PCJ
ngyengthopocenngul	ngyengtho/NNC+pocen/NNC+ngul/PCA
ngyucilul	ngyuci/NNC+ngul/PCA
ngwihan	ngwiha/VV+ngun/EAN
ngwancenhan	ngwancen/NNC+ha/XSJ+ngun/EAN
nunglyekkwa	nunglyek/NNC+kwa/PCJ
kyelsimngul	kyelsim/NNC+ngul/PCA
kacko	kac/VV+ko/ECS
ngissngumye	ngiss/VX+ngumye/ECS
,	,/SCM
nginun	ngi/NPN+ngun/PAU
nguysimnguy	nguysim/NNC+nguy/PAN
ngyecika	ngyeci/NNC+ngi/PCA
ngepsta	ngeps/VJ+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
kangcohayssta	kangco/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cwu	cwu/NPR
taypyennginngun	taypyenngin/NNC+ngun/PAU
tto	tto/ADV
cwungkwuk	cwungkwuk/NPR
citocatulngi	citoca/NNC+tul/XSF+ngi/PCA
cwungkwukngul	cwungkwuk/NPR+ngul/PCA
pangmwuncwungngin	pangmwun/NNC+cwung/NNX+ngi/CO+ngun/EAN
mithayphyengngyangkwun	mi/NPR+thayphyengngyang/NPR+kwun/NNC
salyengkwan	salyengkwan/NNC
teynisu	teynisu/NPR
pulleynge	pulleynge/NPR
ceytokngeykey	ceytok/NNC+ngeykey/PAD
"^LQ	"/SLQ
taymanngey	tayman/NPR+ngey/PAD
tayhan	tayha/VV+ngun/EAN
mwukiphanmaylul	mwuki/NNC+phanmay/NNC+ngul/PCA
kamchwukhakeysstako	kamchwuk/NNC+ha/XSV+keyss/EPF+ta/EFN+ko/PAD
ngyaksokhan	ngyaksok/NNC+ha/XSV+ngun/EAN
cwung-mi	cwung/NPR+-/SSY+mi/NPR
ssangmwuhyepcengngul	ssangmwu/NNC+hyepceng/NNC+ngul/PCA
mikwukngi	mikwuk/NPR+ngi/PCA
cwunswuhatolok	cwunswu/NNC+ha/XSV+tolok/ECS
ngyochenghayssta	ngyocheng/NNC+ha/XSV+ngess/EPF+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kwukceythonghwakikum	kwukceythonghwakikum/NPR
(	(/SLQ
IMF	IMF/NFW
)	)/SRQ
chongcay	chongcay/NNC
hwupolo	hwupo/NNC+ngulo/PAD
nasen	nase/VV+ngun/EAN
khangingo	khangingo/NPR
khohu-peyce	khohu/NPR+-/SSY+peyce/NPR
(	(/SLQ
55	55/NNU
)	)/SRQ
tokngil	tokngil/NPR
caymwuchakwanngi	caymwu/NNC+chakwan/NNC+ngi/PCA
chongcaysenchwulngul	chongcay/NNC+senchwul/NNC+ngul/PCA
ngwihan	ngwiha/VV+ngun/EAN
ciphayngngisahoynguy	ciphayng/NNC+ngisahoy/NNC+nguy/PAN
pikongsikthwuphyongeyse	pikongsik/NNC+thwuphyo/NNC+ngeyse/PAD
sentwungey	sentwu/NNC+ngey/PAD
ngollassciman	ngolu/VV+ngess/EPF+ci/EFN+man/PAU
ngyecenhi	ngyecenhi/ADV
mikwuknguy	mikwuk/NPR+nguy/PAN
pantaylul	pantay/NNC+ngul/PCA
kukpokhaci	kukpok/NNC+ha/XSV+ci/ECS
moshako	mosha/VX+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
